günstig;дешевий/а/о/і
Schlüssel;ключ
drinnen;всередині
praktisch;практичний
wandern;мандрувати
orange;оранжевий
der Toaster;тостер
Wie viel kostet denn das?;Скільки це коштує?
der Stuhl;стілець
das Wetter;погода
Groß;великий
haben;мати
der Brief;лист
Kunde;покупець
der Teppich;килим
die Thermosflasche;термос
der Enkel;онук (внук)
erraten;вгадувати
essen;їсти
bestrafen;штрафувати
die Mikrowelle;мікрохвильовка
der Tisch;стіл
draussen;ззовні
Leiter;керівник
der Geschirrspüller;посудомийна машина
gehen;іти
arbeitslos;безробітній
der Neffe;племінник
die Lampe;лампа
sehen;бачити
die Geschichte;історія
Der Himmel;небо
der Wasserkocher;електрочайник
der Topf;каструля
zustimmen;погоджуватися
lustige;смішний/а/о/e
der Mülleimer;смітник
doch;та, але
schlau;кмітливий, хитрий
die Brotdose;хлібниця
neblig;туманно
die Ausbildung;освіта
die Steckdose;розетка
Richtung;напрямок
die Spüle;мийка (умивальник)
der Herd;кухонна плита
die Werbung;реклама
das Wort;слово
behandeln;піклуватися
der Eindruck;враження
mitfahren;
toll;чудово/ий/а/е
machen;робити (робити руками)
unternehmen;робити, намагатися
das Sonderangebot;розпродаж
wohnen;жити
ehrlich;чесно
der Bauarbeiter;будівельник
Der Wind;вітер
die Taffel;дошка
leben;жити
möglich;можливий/а/е/о
die Übung;вправа
der Beruf;робота
die Gabel;виделка
erklären;пояснювати
Das Lied;пісня
das Bild;картина, малюнок
die Küchenmaschine;кухонний комбайн
der Teller;тарілка
das Beispiel;приклад
rosa;рожевий
der Leiter;керівник, шеф, менеджер
denken;думати
studieren;вчитися
Die Abteilung;відділ
Brauchen Sie Hilfe?;Вам потрібна допомога?
anstrengend;втомлюючий
der Wasserkessel;чайник
die Blume;квітка
geschieden;розлучений/а/і
grün;зелений
der Nebel;туман
das Bad;ванна
die Toilette;туалет
grau;сірий
der Herbst;осінь
die Treppe;сходи
schreiben;писати
nett;милий/а/е/і/о
gelb;жовтий
zeigen;показувати
anhalten;зупинитися
ergänzen;доповнювати
es geht;так собі
Leider;на жаль
schneit;сніжно
arbeiten;працювати
der Schauspieler;актор
geradeaus ;прямо
die Kaffemaschine;кавоварка
kalt;холодно
die Seite;сторінка
nass;мокрий
brauchen;потребувати
der/die Cousin;двоюрідна сестра/брат
leer;пустий
die Enkelin;онука (внучка)
die Kanne;чайник
Guck mal!;Подивися!
der Spiegel;дзеркало
Findest du?;Чи теж так думаєш?
zu teuer;задорогий
der Fernsehapparat;телевізор
das Bett;ліжко
hassen;ненавидіти
das Regal;полка
modern;модерний
der Regen;дощ
fantastisch;фантастично
der Schnee;сніг
verheiratet;одружений/а/і
warten;чекати
die Lüge;брехня
die Kühlschrank;холодильник
mögen;вподобати
nachholen;наздогнати
bauen;будувати
klein;малий
kommen;приходити
weiß;білий
lieben;любити
der Schrank;шафа
Die Verwandte;родич
sagen;казати
gemeinsam;разом
shwarz;чорний
einige;деякі
der Löffel;ложка
blau;синів
rot;червоний
verkaufen;продавати
gut;добре/а/ий/і
der Sessel;мяке крісло
Klingel;дзвінок
die Uhr;годинник
Du hast Recht.;Ти правий
danken;дякувати
das Glass;склянка
die Wahrheit;правда
treffen;зустрічати
 das Messer;ніж
bekannt;відомий
das Sofa;диван
Die Sonne;Сонце
witzig;смішний
der Tasse;горнятко
die Tür;двері
schicken;надсилати
kaufen;купувати
teuer;дорогий/а/о/і
der Kühlschrank;холодильник
übersetzen;перекладати
bequem;зручний
die Zeit;час
die Nichte;племінниця
violett;фіолетовий
die Woche;тиждень
braun;коричневий
die Spule;умивальник
das Fenster;вікно
verloren;загублений
der Keller;підвал
sicher;впевнено
Die Wolke;хмара
heißen;називатися
kosten;коштувати
spazieren gehen;прогулюватися, гуляти
die Mappe;папка
das Mäppchen;пенал
das Heft;зошит
das Buch;книжка
der Bleistift;простий олівець
der Farbstift;кольоровий олівец
der Filzstift;фломастер
der Kugelschreiber;ручка
das Lineal;лінійка
der Spitzer;стругалка
der Radiergummi;стиральна резинка
die Tasche;сумка
die Brille;окуляри
das Feurzeug;запальничка
der Aschenbecher;попільничка
die Flasche;бутилка
die Kette;ланцюжок
der Fotoapparat;фотоапарат
der Schlüssel;ключ
die Straße;вулиця
der Ausweis;документ
der Pass;паспорт
das Visum;віза
der Führerschein;водійські права
die Polizei;поліція
das Polizeiauto;поліцейське авто
die Klingel;дзвінок
die Ampel;світлофор
